,text,link
0,"With fact-checks, Twitter takes on a new kind of task",https://finance.yahoo.com/news/fact-checks-twitter-takes-kind-223035112.html
1,Work-from-home productivity pickup has tech CEOs predicting many employees will never come back to the office,https://www.marketwatch.com/story/work-from-home-productivity-gain-has-tech-ceos-predicting-many-workers-will-never-come-back-to-the-office-2020-05-15?siteid=yhoof2
2,"Twitter and Trump Have a 10-Year 'Symbiotic' Relationship, Says Former Obama Campaign Staffer",https://finance.yahoo.com/video/twitter-trump-10-symbiotic-relationship-164448804.html
3,3 Ways to Invest in the Acceleration of E-Commerce That Aren't Amazon,https://www.fool.com/investing/2020/05/30/ways-invest-in-e-commerce-acceleration-amazon.aspx?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
4,"Revoking Hong Kongs special status is Trumps nuclear option that could trigger irrevocable U.S.-China split, analysts warn",https://www.marketwatch.com/story/revoking-hong-kongs-special-status-is-trumps-nuclear-option-that-could-trigger-irrevocable-us-china-split-analysts-warn-2020-05-27?siteid=yhoof2
5,"Tech conferences are going virtual, and it feels like Netflix content on demand",https://www.marketwatch.com/story/tech-conferences-are-going-virtual-and-it-feels-like-netflix-content-on-demand-2020-05-21?siteid=yhoof2
6,Why the stock market right now is stronger than even the most bullish investors believe,https://www.marketwatch.com/story/why-the-stock-market-right-now-is-stronger-than-even-the-most-bullish-investors-believe-2020-05-29?siteid=yhoof2
7,Instagram May Be About to Unlock Billions in New Revenue,https://www.fool.com/investing/2020/05/30/instagram-may-unlock-billions-in-new-revenue.aspx?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
8,Mark Zuckerberg Says Trumps Inflammatory Looting and Shooting Comment Doesnt Violate Facebook Policy,https://finance.yahoo.com/news/mark-zuckerberg-says-trump-inflammatory-132847707.html
9,Twitter-Trump Spat Signals New Chapter for Social Media,https://finance.yahoo.com/news/twitter-trump-spat-signals-chapter-120014709.html
10,"Donald Trump Is Angry at Twitter, on Twitter. It's Great for Business",https://finance.yahoo.com/news/trump-ire-draws-eyeballs-twitter-004921735.html
11,Why the Trump-Twitter Fight Could Mean A Summer of Worry for Tech Stocks,https://www.barrons.com/articles/the-trump-twitter-fight-could-mean-a-summer-of-worry-for-tech-stocks-51590798514?siteid=yhoof2
12,Nike responds to George Floyd attack: Dont do it  'Dont turn your back on racism',https://finance.yahoo.com/news/nike-responds-to-george-floyd-attack-dont-pretend-theres-not-a-problem-in-america-002017450.html
13,Facebook Employees Mad Company Didn't Flag Trump Posts: Report,https://www.thestreet.com/investing/facebook-employees-mad-company-didnt-flag-trump-posts-report?puc=yahoo&cm_ven=YAHOO
14,"Is Twitter Stock A Buy Right Now? Here's What Earnings, Charts Show; Twitter-Trump Feud Escalates",https://www.investors.com/research/twitter-stock-buy-now/?src=A00220
15,These Are The 5 Best Stocks To Buy And Watch Now,https://www.investors.com/research/best-stocks-to-buy-now/?src=A00220
16,"Michael Burry's Firm Axes Alphabet, Buys 5 Stocks in the 1st Quarter",https://finance.yahoo.com/news/michael-burrys-firm-axes-alphabet-214957128.html
17,Top Strategists on Where to Invest Now,https://www.investopedia.com/top-strategists-on-where-to-invest-now-4843888?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral
18,Colin Kaepernick says protesters have the right to fight back in the wake of George Floyds death,https://www.marketwatch.com/story/colin-kaepernick-says-protesters-have-the-right-to-fight-back-in-the-wake-of-george-floyds-death-2020-05-29?siteid=yhoof2
19,"S&P 500, Nasdaq rally to close week higher as Trumps actions against China seen not as disruptive as feared",https://www.marketwatch.com/story/stock-index-futures-slip-as-investors-await-trump-remarks-on-china-2020-05-29?siteid=yhoof2
20,Trumps Twitter War Is an Opportunity for Investors,https://finance.yahoo.com/news/trump-twitter-war-opportunity-investors-201852716.html
21,This Is How Mark Zuckerberg And Other Tech CEOs Stay In Power,https://www.investors.com/news/technology/tech-companies-ipo-super-voting-rights/?src=A00220
22,Twitter-Trump Tension Mounts on Warning Over Shooting Tweet,https://finance.yahoo.com/news/twitter-says-trump-minneapolis-post-075109571.html
23,"Facebook gets likes from House Republicans, while Twitter is Democrats preference in social-media fracas",https://www.marketwatch.com/story/facebook-gets-likes-from-house-republicans-while-twitter-is-democrats-preference-in-social-media-fracas-2020-05-29?siteid=yhoof2
24,Top Spiking Articles and Terms This Week,https://www.investopedia.com/top-spiking-articles-and-terms-this-week-4843900?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral
25,"As Trump escalates feud with Twitter, here are countries that have banned it in recent years",https://www.marketwatch.com/story/as-trump-escalates-feud-with-twitter-here-are-the-countries-that-have-banned-it-2020-05-29?siteid=yhoof2
26,"ThisIs Why  LeBron James, Jamie Foxx react to George Floyds death with images of Colin Kaepernick kneeling",https://www.marketwatch.com/story/thisis-why-lebron-james-jamie-foxx-react-to-george-floyds-death-with-images-of-colin-kaepernick-kneeling-2020-05-27?siteid=yhoof2
27,"Trump executive order to punish social-media platforms is largely toothless, legal experts say",https://www.marketwatch.com/story/trump-executive-order-to-punish-social-media-platforms-is-largely-toothless-legal-experts-say-2020-05-28?siteid=yhoof2
28,Facebook Has a New Shopping Service. What That Means for Etsy Stock.,https://www.barrons.com/articles/facebook-has-a-new-shopping-service-what-that-means-for-etsy-51590769582?siteid=yhoof2
29,"Twitter Shield Needs Fresh Look, Not Trump Spite",https://finance.yahoo.com/news/twitter-shield-needs-fresh-look-152058761.html
30,Tech Industry's Work-From-Home Plans Could Reach Beyond Silicon Valley,https://www.investors.com/news/technology/work-from-home-tech-industry-plans-could-reach-beyond-silicon-valley/?src=A00220
31,"The Zacks Analyst Blog Highlights: Twitter, Facebook and salesforce.com",https://finance.yahoo.com/news/zacks-analyst-blog-highlights-twitter-151403340.html
32,Twitter Targets for Rule Violation Shift From Virus to Violence,https://finance.yahoo.com/news/twitter-targets-rule-violation-shift-142034024.html
33,"Dow stumbles, Nasdaq gains at Friday's open as stock-market investors await Trump's response to China crackdown on Hong Kong",https://www.marketwatch.com/story/dow-stumbles-nasdaq-gains-at-fridays-open-as-stock-market-investors-await-trumps-response-to-china-crackdown-on-hong-kong-2020-05-29?siteid=yhoof2
34,Why Is Facebook for Remote Work? It Wants Pay Cuts,https://finance.yahoo.com/news/why-facebook-remote-wants-pay-133000046.html
35,What Does Oculus's $100 Million Milestone Really Mean?,https://www.fool.com/investing/2020/05/29/oculus-hits-100-million-milestone.aspx?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
36,The best books of the week,"http://www.ft.com/cms/s/ff0a954a-38ed-11e9-b856-5404d3811663,s01=1.html?ftcamp=traffic/partner/feed_headline/us_yahoo/auddev"
37,Donald Trump's love-hate relationship Twitter over the past 8 years,https://finance.yahoo.com/news/trump-has-had-a-lot-to-say-about-twitter-over-the-past-8-years-183006770.html
38,Tweeter-in-chief Trump hands Facebook and Twitter a gift,"http://www.ft.com/cms/s/700a5c43-64de-4ac6-a79e-b343ef7e2457,s01=1.html?ftcamp=traffic/partner/feed_headline/us_yahoo/auddev"
39,"Facebook, Instagram Leave Trumps Threat About Shooting Minneapolis Protesters Unchecked",https://finance.yahoo.com/news/facebook-instagram-leave-trump-threat-101306707.html
40,"Stocks - Twitter Down, Facebook up After Trump Strikes at Social Media",https://finance.yahoo.com/news/stocks-twitter-down-facebook-trump-092414401.html
41,Whats Keeping Stocks Afloat? The Microsoft Market,https://finance.yahoo.com/news/keeping-stocks-afloat-microsoft-market-090007914.html
42,Twitter labels Trump tweet as glorifying violence,https://www.marketwatch.com/story/twitter-labels-trump-tweet-as-glorifying-violence-2020-05-29?siteid=yhoof2
43,Twitter-Trump Clash Escalates After He Signs Social Media Order,https://finance.yahoo.com/news/trump-signs-social-media-order-205316837.html
44,"Heres what you need to know about Section 230, a rule that made the modern internet",https://www.marketwatch.com/story/heres-what-you-need-to-know-about-section-230-a-rule-that-made-the-modern-internet-2020-05-28?siteid=yhoof2
45,Twitter Has Little to Fear From Trump,https://finance.yahoo.com/news/twitter-little-fear-trump-214200670.html
46,Trump Declares War on Social-Media Companies,https://www.barrons.com/articles/president-donald-trump-social-media-twitter-facebook-51590679996?siteid=yhoof2
47,President Trump signs social media executive order,https://finance.yahoo.com/video/president-trump-signs-social-media-220057626.html
48,Facebook (FB) Dips More Than Broader Markets: What You Should Know,https://finance.yahoo.com/news/facebook-fb-dips-more-broader-214509128.html
49,Trump signs order aimed at curbing social-media companies amid brawl with Twitter,https://www.marketwatch.com/story/trump-signs-order-aimed-at-curbing-social-media-companies-amid-brawl-with-twitter-2020-05-28?siteid=yhoof2
50,The Dow Fell 148 Points Because Trump May Be Winding Up to Hit China,https://www.barrons.com/articles/dow-jones-industrial-average-fell-trump-may-be-winding-up-to-hit-china-51590700431?siteid=yhoof2
51,"Mario Cibelli Adds 2 Stocks to Portfolio, Gives Alphabet the Boot",https://finance.yahoo.com/news/mario-cibelli-adds-2-stocks-210001828.html
52,Dow books a 150-point loss after President Trump says he will hold Friday news conference on China,https://www.marketwatch.com/story/stock-index-futures-edge-higher-after-dow-retakes-25000-2020-05-28?siteid=yhoof2
53,John Krasinski tries explaining to furious fans why he sold Some Good News to CBS,https://www.marketwatch.com/story/john-krasinski-tries-explaining-to-furious-fans-why-he-sold-some-good-news-to-cbs-2020-05-28?siteid=yhoof2
54,"Facebook CEO Mark Zuckerberg Talks Working From Home, Fact-Checking Trump",https://finance.yahoo.com/news/facebook-ceo-mark-zuckerberg-talks-192812262.html
55,Trump planning to sign social-media order this afternoon: White House,https://www.marketwatch.com/story/trump-planning-to-sign-social-media-order-this-afternoon-white-house-2020-05-28?siteid=yhoof2
56,Trump's order taking aim at Twitter is 'bluster' - legal experts,https://finance.yahoo.com/news/trumps-order-taking-aim-twitter-182240625.html
57,Zuckerberg distances Facebook from Twitter in Trump fight,https://finance.yahoo.com/news/zuckerberg-distances-facebook-twitter-trump-181958075.html
58,Trump's order taking aim at Twitter is 'bluster' - legal experts,https://finance.yahoo.com/news/trumps-order-taking-aim-twitter-181611297.html
59,"Buffet, Bezos And Blackrock Are Betting Big On This $30 Trillion Mega-Trend",https://finance.yahoo.com/news/buffet-bezos-blackrock-betting-big-230000112.html
60,Will Trump Derail Facebook Stock? A Look at the Charts,https://www.thestreet.com/investing/facebook-fb-stock-twitter-twtr-trump-trading?puc=yahoo&cm_ven=YAHOO
61,Wall Street Analysts Dismiss Trump Social Media Order as Noise,https://finance.yahoo.com/news/wall-street-analysts-dismiss-trump-170842579.html
62,Trump Signs Order to Crack Down on Social Media Platforms,https://finance.yahoo.com/news/trump-signs-order-crack-down-165430528.html
63,YouTube Virus Misinformation Fight Trips on Drug Touted by Trump,https://finance.yahoo.com/news/youtube-virus-misinformation-fight-trips-100000417.html
64,How to possibly make easy money from Trump's battle with Twitter and Facebook,https://finance.yahoo.com/news/how-to-possibly-make-easy-money-off-trumps-battle-with-twitter-and-facebook-160558298.html
65,"Dow Jones Slashes Nearly 200-Point Gain Amid China News; Facebook, Twitter Fall On Trump Threat",https://www.investors.com/market-trend/stock-market-today/dow-jones-trump-threat-china-news-facebook-twitter-boeing/?src=A00220
66,FCC Commissioner on Trump social media crackdown: companies should leave 'speech police business',https://finance.yahoo.com/video/fcc-commissioner-trump-social-media-153450583.html
67,Twitter Stock Moves Lower After Trump Threatens Action,https://www.investopedia.com/twitter-stock-moves-lower-after-trump-threatens-action-4846275?utm_campaign=quote-yahoo&utm_source=yahoo&utm_medium=referral
68,Trump's Executive Order To Expose Social Media To Lawsuits Over Content Policies,https://finance.yahoo.com/news/trumps-executive-order-expose-social-144539982.html
69,Trump Aims Order at Social Media Giants Amid Fury Over Twitter,https://finance.yahoo.com/news/trump-furious-twitter-aims-executive-050227614.html
70,"Dow Jones Today, Stocks Flatten As U.S., China Enter Cold War; Facebook Falls On White House Threat",https://www.investors.com/market-trend/stock-market-today/dow-jones-today-futures-mixed-u-s-china-declare-cold-war-facebook-white-house-threat/?src=A00220
71,Should Value Investors Buy Facebook (FB) Stock?,https://finance.yahoo.com/news/value-investors-buy-facebook-fb-134346346.html
72,"Dow rises as stock market attempts to shake off 5% GDP contraction, 40 million total jobless claims",https://www.marketwatch.com/story/dow-rises-as-stock-market-attempts-to-shake-off-5-gdp-contraction-40-million-total-jobless-claims-2020-05-28?siteid=yhoof2
73,Trump expected to sign social media executive order as Twitter battle brews,https://finance.yahoo.com/video/trump-expected-sign-social-media-132937644.html
74,"The Dow Is Up, but Twitter and Facebook Are Falling",https://www.barrons.com/articles/stocks-moving-premarket-twitter-facebook-dollar-tree-51590668534?siteid=yhoof2
75,"Tech Companies Aren't 'State Actors,' Judge Dismisses Conservative Bias Lawsuit Against Facebook, Twitter, Google, Apple",https://finance.yahoo.com/news/tech-companies-arent-state-actors-121424420.html
76,Trump to Sign Executive Order: Social Media Giants Under Fire,https://finance.yahoo.com/news/trump-sign-executive-order-social-115011692.html
77,Trump Wants to Roll Back Social Media Legal Protections; Facebook and Twitter CEOs Weigh In,https://finance.yahoo.com/news/trump-wants-roll-back-social-113955227.html
78,"Google Considers Stake in Indias Vodafone Idea, FT Says",https://finance.yahoo.com/news/google-considers-stake-india-vodafone-113856456.html
79,Facebook German privacy case referred to European Court,https://finance.yahoo.com/news/facebook-german-privacy-case-referred-093829134.html
80,Zuckerberg and Dorsey clash as Trump order looms,"http://www.ft.com/cms/s/bf4324b5-6083-405a-ba7c-d4b026880b6f,s01=1.html?ftcamp=traffic/partner/feed_headline/us_yahoo/auddev"
81,"Facebook shouldnt be the arbiter of truth, Zuckerberg tells Fox News",https://www.marketwatch.com/story/facebook-shouldnt-be-the-arbiter-of-truth-zuckerberg-tells-fox-news-2020-05-27?siteid=yhoof2
82,Trump to sign executive order on social-media companies on Thursday,https://www.marketwatch.com/story/trump-to-sign-executive-order-on-social-media-companies-on-thursday-2020-05-27?siteid=yhoof2
83,Big Tech goes on pandemic M&A spree despite political backlash,"http://www.ft.com/cms/s/04a62a26-42aa-4ad9-839e-05d762466fbe,s01=1.html?ftcamp=traffic/partner/feed_headline/us_yahoo/auddev"
84,Why Trump will relish a war with Twitter,https://finance.yahoo.com/news/why-trump-will-relish-a-war-with-twitter-223616496.html
85,"HP sales dive more than 11% despite work-from-home demand, stock falls in late trading",https://www.marketwatch.com/story/hp-sales-dive-more-than-11-despite-work-from-home-demand-stock-falls-in-late-trading-2020-05-27?siteid=yhoof2
86,"Facebook, Twitter, Apple, and Google Win Dismissal of Anti-Conservative Bias Suit",https://www.fool.com/investing/2020/05/27/facebook-twitter-apple-and-google-win-dismissal-of.aspx?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
87,Alibaba Hunts for a Million Influencers Keen to Make Big Money,https://finance.yahoo.com/news/alibaba-hunts-million-influencers-keen-210000647.html
88,"Facebook, Twitter Controversies Renew Shareholder Calls for Oversight",https://www.thestreet.com/investing/twitter-facebook-controversies-renew-shareholder-calls-for-better-oversight?puc=yahoo&cm_ven=YAHOO
89,Heres how Twitter has lobbied on free-speech issues as Trump threatens company,https://www.marketwatch.com/story/heres-how-twitter-has-lobbied-on-free-speech-issues-as-trump-threatens-company-2020-05-27?siteid=yhoof2
90,One Analyst Thinks Facebook Shops Could Make Facebook a $275 Stock: Is He Right?,https://www.fool.com/investing/2020/05/27/one-analyst-thinks-facebook-shops-could-make-faceb.aspx?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
91,Facebook's Instagram is Bringing Ads to IGTV,https://www.fool.com/investing/2020/05/27/facebooks-instagram-is-bringing-ads-to-igtv.aspx?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
92,"Facebooks Push Into E-Commerce Will Generate Even More Revenue, Citigroup Says",https://www.barrons.com/articles/facebooks-push-into-e-commerce-will-generate-even-more-revenue-citigroup-says-51590598938?siteid=yhoof2
93,Twitter Strikes Fair Balance Between Liberty and Lies,https://finance.yahoo.com/news/twitter-strikes-fair-balance-between-162510236.html
94,Internal Facebook Investigation Showed The Platform Increasing Division: Report,https://www.fool.com/investing/2020/05/27/facebook-knew-its-algorithms-were-dividing-users-b.aspx?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article
95,"Twitter, Facebook Win Appeal Over Alleged Anti-Conservative Bias",https://finance.yahoo.com/news/twitter-facebook-win-appeal-over-151940896.html
96,"Trump Lashes Out at Twitter, Threatens to Shut Social-Media Sites",https://www.barrons.com/articles/trump-lashes-out-at-twitter-threatens-to-shut-social-media-sites-51590592637?siteid=yhoof2
97,"Instagram Will Help Its Stars Make More Money, Taking on YouTube",https://finance.yahoo.com/news/instagram-help-stars-more-money-150000837.html
98,Google to reopen some offices in July,https://finance.yahoo.com/video/google-reopen-offices-july-144109598.html
99,"Facebook launches Collab, a mix-and-match app for making collaborative music videos",https://techcrunch.com/2020/05/27/facebook-launches-collab-a-mix-and-match-app-for-making-collaborative-music-videos/
